number,value,datetime_start,datetime_complete,duration,params_batch_size,params_class_weight_ratio,params_drop_path_prob,params_lr,params_weight_decay,state
0,,2025-07-07 15:35:26.133848,2025-07-07 15:35:29.931132,0 days 00:00:03.797284,8,1.6239780813448106,0.11742508365045984,0.0001329291894316216,0.0071144760093434225,PRUNED
1,17.880794701991018,2025-07-07 15:36:47.918501,2025-07-07 15:39:04.355247,0 days 00:02:16.436746,8,1.6239780813448106,0.11742508365045984,0.0001329291894316216,0.0071144760093434225,COMPLETE
2,12.624584717663833,2025-07-07 15:39:04.494902,2025-07-07 15:40:00.974261,0 days 00:00:56.479359,32,4.329770563201687,0.16370173320348286,0.003967605077052989,0.0006358358856676254,COMPLETE
3,48.97959183673468,2025-07-07 15:40:01.131618,2025-07-07 15:41:23.123059,0 days 00:01:21.991441,16,2.1649165607921677,0.2835558684167139,3.511356313970405e-05,3.5498788321965036e-05,COMPLETE
4,51.020408163272144,2025-07-07 15:41:23.272692,2025-07-07 15:41:50.312594,0 days 00:00:27.039902,32,1.798695128633439,0.2542703315240835,2.621087878265438e-05,7.52374288453485e-05,COMPLETE
5,12.45901639339523,2025-07-07 15:41:50.452760,2025-07-07 15:43:18.909870,0 days 00:01:28.457110,8,4.7955421490133325,0.3896896099223679,0.0005987474910461401,1.3783237455007187e-05,COMPLETE
6,11.564625850340134,2025-07-07 15:43:19.045347,2025-07-07 15:44:15.018069,0 days 00:00:55.972722,16,1.4881529393791153,0.2485530730333811,0.002661901888489057,8.200518402245828e-05,COMPLETE
7,51.49501661127446,2025-07-07 15:44:15.176388,2025-07-07 15:44:36.139069,0 days 00:00:20.962681,16,3.0802720847112433,0.26401308380298394,1.2681352169084594e-05,0.00534516611064682,PRUNED
8,51.02040816326531,2025-07-07 15:44:36.325605,2025-07-07 15:44:58.226736,0 days 00:00:21.901131,16,3.3915999152443406,0.37656227050693514,3.585612610345396e-05,0.008105016126411584,PRUNED
9,51.70068027210885,2025-07-07 15:44:58.378170,2025-07-07 15:45:20.032052,0 days 00:00:21.653882,32,2.0853961270955836,0.34862125274557887,1.8427970406864546e-05,3.872118032174584e-05,PRUNED
10,10.20408163262802,2025-07-07 15:45:20.188772,2025-07-07 15:46:15.760328,0 days 00:00:55.571556,16,1.0718475024592777,0.19029293373130415,0.008497299964731172,0.0004748459024928748,COMPLETE
11,10.204081632653066,2025-07-07 15:46:15.903070,2025-07-07 15:47:05.800553,0 days 00:00:49.897483,16,1.1397710212126555,0.2047182535904166,0.006407802452588908,0.00043833231924430026,COMPLETE
12,8.843537414966336,2025-07-07 15:47:05.953702,2025-07-07 15:48:19.905114,0 days 00:01:13.951412,16,1.1349646700825222,0.18615678763726207,0.009487502590718969,0.0006078706616850018,COMPLETE
13,16.32653061223482,2025-07-07 15:48:20.039866,2025-07-07 15:48:40.393578,0 days 00:00:20.353712,16,1.017262123368978,0.1873085526718703,0.0013264307426836086,0.0015043637857892263,PRUNED
14,10.204081632672365,2025-07-07 15:48:40.533908,2025-07-07 15:49:31.744183,0 days 00:00:51.210275,16,2.5321942282481773,0.16740042138688563,0.008145427632203531,0.0011752504751599805,COMPLETE
15,15.646258503407584,2025-07-07 15:49:31.894853,2025-07-07 15:49:55.322708,0 days 00:00:23.427855,16,3.694195019700013,0.2218554998803137,0.0018183320013855052,0.00021413090789475906,PRUNED
16,10.204081632653065,2025-07-07 15:49:55.462523,2025-07-07 15:50:54.490964,0 days 00:00:59.028441,16,2.724199766977851,0.3064688535850598,0.009956055660659048,0.0020887410779908493,COMPLETE
17,19.047619047619047,2025-07-07 15:50:54.620428,2025-07-07 15:51:18.091882,0 days 00:00:23.471454,16,1.1029973079945916,0.1587786965655536,0.0008590551698794441,0.00020351856821547394,PRUNED
18,14.965986394518819,2025-07-07 15:51:18.261712,2025-07-07 15:51:39.996000,0 days 00:00:21.734288,32,2.253592843089059,0.13538057388129082,0.0038556452805890195,0.0008676033497641488,PRUNED
19,20.983606557376692,2025-07-07 15:51:40.151605,2025-07-07 15:52:12.141831,0 days 00:00:31.990226,8,1.344738947835013,0.22469266483940548,0.0003224532212997495,0.003044709163365474,PRUNED
20,13.289036544851978,2025-07-07 15:52:12.311359,2025-07-07 15:52:57.407563,0 days 00:00:45.096204,16,3.9301237256349717,0.3166177450019162,0.004883264280695592,0.0003005388539593824,PRUNED
